year,ignore,temperature,percentile,scenario,color_val
1940.04,,0.245,83,grey,"rgb(100,100,100)"
1941.04,,0.25,83,grey,"rgb(100,100,100)"
1942.04,,0.254,83,grey,"rgb(100,100,100)"
1943.04,,0.259,83,grey,"rgb(100,100,100)"
1944.04,,0.262,83,grey,"rgb(100,100,100)"
1945.04,,0.265,83,grey,"rgb(100,100,100)"
1946.04,,0.268,83,grey,"rgb(100,100,100)"
1947.04,,0.27,83,grey,"rgb(100,100,100)"
1948.04,,0.271,83,grey,"rgb(100,100,100)"
1949.04,,0.273,83,grey,"rgb(100,100,100)"
1950.04,,0.275,83,grey,"rgb(100,100,100)"
1951.04,,0.277,83,grey,"rgb(100,100,100)"
1952.04,,0.28,83,grey,"rgb(100,100,100)"
1953.04,,0.282,83,grey,"rgb(100,100,100)"
1954.04,,0.285,83,grey,"rgb(100,100,100)"
1955.04,,0.288,83,grey,"rgb(100,100,100)"
1956.04,,0.29,83,grey,"rgb(100,100,100)"
1957.04,,0.294,83,grey,"rgb(100,100,100)"
1958.04,,0.297,83,grey,"rgb(100,100,100)"
1959.04,,0.302,83,grey,"rgb(100,100,100)"
1960.04,,0.306,83,grey,"rgb(100,100,100)"
1961.04,,0.31,83,grey,"rgb(100,100,100)"
1962.04,,0.314,83,grey,"rgb(100,100,100)"
1963.04,,0.318,83,grey,"rgb(100,100,100)"
1964.04,,0.322,83,grey,"rgb(100,100,100)"
1965.04,,0.327,83,grey,"rgb(100,100,100)"
1966.04,,0.333,83,grey,"rgb(100,100,100)"
1967.04,,0.34,83,grey,"rgb(100,100,100)"
1968.04,,0.346,83,grey,"rgb(100,100,100)"
1969.04,,0.354,83,grey,"rgb(100,100,100)"
1970.04,,0.363,83,grey,"rgb(100,100,100)"
1971.04,,0.372,83,grey,"rgb(100,100,100)"
1972.04,,0.384,83,grey,"rgb(100,100,100)"
1973.04,,0.397,83,grey,"rgb(100,100,100)"
1974.04,,0.412,83,grey,"rgb(100,100,100)"
1975.04,,0.428,83,grey,"rgb(100,100,100)"
1976.04,,0.445,83,grey,"rgb(100,100,100)"
1977.04,,0.464,83,grey,"rgb(100,100,100)"
1978.04,,0.484,83,grey,"rgb(100,100,100)"
1979.04,,0.505,83,grey,"rgb(100,100,100)"
1980.04,,0.526,83,grey,"rgb(100,100,100)"
1981.04,,0.548,83,grey,"rgb(100,100,100)"
1982.04,,0.568,83,grey,"rgb(100,100,100)"
1983.04,,0.587,83,grey,"rgb(100,100,100)"
1984.04,,0.607,83,grey,"rgb(100,100,100)"
1985.04,,0.627,83,grey,"rgb(100,100,100)"
1986.04,,0.646,83,grey,"rgb(100,100,100)"
1987.04,,0.665,83,grey,"rgb(100,100,100)"
1988.04,,0.685,83,grey,"rgb(100,100,100)"
1989.04,,0.705,83,grey,"rgb(100,100,100)"
1990.04,,0.724,83,grey,"rgb(100,100,100)"
1991.04,,0.742,83,grey,"rgb(100,100,100)"
1992.04,,0.76,83,grey,"rgb(100,100,100)"
1993.04,,0.776,83,grey,"rgb(100,100,100)"
1994.04,,0.79,83,grey,"rgb(100,100,100)"
1995.04,,0.805,83,grey,"rgb(100,100,100)"
1996.04,,0.819,83,grey,"rgb(100,100,100)"
1997.04,,0.835,83,grey,"rgb(100,100,100)"
1998.04,,0.85,83,grey,"rgb(100,100,100)"
1999.04,,0.866,83,grey,"rgb(100,100,100)"
2000.04,,0.882,83,grey,"rgb(100,100,100)"
2001.04,,0.898,83,grey,"rgb(100,100,100)"
2002.04,,0.915,83,grey,"rgb(100,100,100)"
2003.04,,0.933,83,grey,"rgb(100,100,100)"
2004.04,,0.951,83,grey,"rgb(100,100,100)"
